Date,Open,High,Low,Close,Adj Close,Volume
"Dec 27, 2016",53.29,54.1,53.03,53.9,53.9,"2,77,306"
"Dec 23, 2016",52.68,53.28,52.26,53.02,53.02,"2,85,166"
"Dec 22, 2016",52.52,53.19,52.08,52.95,52.95,"3,93,487"
"Dec 21, 2016",53.56,53.79,52.32,52.49,52.49,"4,71,993"
"Dec 20, 2016",52.11,52.7,51.85,52.23,52.23,"4,16,592"
"Dec 19, 2016",52.15,52.52,51.51,52.12,52.12,"1,29,990"
"Dec 16, 2016",51.1,52.08,50.5,51.9,51.9,"2,52,567"
"Dec 15, 2016",50.79,51.48,49.95,50.9,50.9,"5,51,759"
"Dec 14, 2016",52.45,52.78,50.67,51.04,51.04,"6,77,957"
"Dec 13, 2016",52.51,53.41,52.35,52.98,52.98,"6,38,396"
"Dec 12, 2016",52.58,54.51,52.18,52.83,52.83,"8,47,025"
"Dec 09, 2016",50.92,51.66,50.86,51.5,51.5,"6,52,040"
"Dec 08, 2016",49.88,50.98,49.61,50.84,50.84,"7,80,062"
"Dec 07, 2016",50.93,51.2,49.72,49.77,49.77,"8,16,879"
"Dec 06, 2016",50.97,51.6,50.28,50.93,50.93,"6,42,746"
"Dec 05, 2016",51.46,52.42,50.93,51.79,51.79,"6,00,782"
"Dec 02, 2016",51.01,51.73,50.18,51.68,51.68,"6,67,099"
"Dec 01, 2016",49.07,51.8,48.98,51.06,51.06,"9,74,805"
"Nov 30, 2016",45.24,49.9,45.22,49.44,49.44,"13,11,000"
"Nov 29, 2016",46.88,46.98,44.82,45.23,45.23,"7,32,818"
"Nov 28, 2016",45.43,47.65,45.14,47.08,47.08,"7,34,381"
"Nov 25, 2016",47.97,48.26,45.88,46.06,46.06,"4,65,977"
"Nov 23, 2016",47.94,48.43,47.4,47.96,47.96,"5,56,861"
"Nov 22, 2016",48.37,49.2,47.17,48.03,48.03,"8,26,208"
"Nov 21, 2016",45.83,47.8,45.77,47.49,47.49,"6,65,326"
"Nov 18, 2016",44.93,45.77,44.55,45.69,45.69,"1,55,651"
"Nov 17, 2016",45.37,46.58,44.88,45.42,45.42,"2,84,874"
"Nov 16, 2016",45.77,46.41,45.03,45.57,45.57,"6,58,169"
"Nov 15, 2016",43.76,46.09,43.55,45.81,45.81,"7,06,177"
"Nov 14, 2016",43.2,43.81,42.2,43.32,43.32,"7,04,766"
"Nov 10, 2016",45.31,45.64,44.25,44.66,44.66,"6,86,338"
"Nov 09, 2016",44.82,45.95,43.07,45.27,45.27,"9,46,512"
"Nov 08, 2016",44.97,45.39,44.41,44.98,44.98,"6,69,639"
"Nov 07, 2016",44.45,45.01,44.11,44.89,44.89,"6,05,733"
"Nov 04, 2016",44.63,44.87,43.57,44.07,44.07,"7,36,685"
"Nov 03, 2016",45.48,45.9,44.37,44.66,44.66,"5,40,439"
"Nov 02, 2016",46.32,46.47,44.96,45.34,45.34,"6,74,322"
"Nov 01, 2016",46.77,47.35,46.2,46.67,46.67,"8,34,989"
"Oct 31, 2016",48.25,48.74,46.63,46.86,46.86,"6,49,237"
"Oct 28, 2016",49.61,49.81,48.42,48.7,48.7,"5,50,081"
"Oct 27, 2016",49.22,50.06,49,49.72,49.72,"5,43,173"
"Oct 26, 2016",49.31,50.1,48.87,49.18,49.18,"6,79,320"
"Oct 25, 2016",50.49,50.93,49.27,49.96,49.96,"5,53,778"
"Oct 24, 2016",50.85,50.98,49.62,50.52,50.52,"6,23,398"
"Oct 21, 2016",50.66,51.02,50.21,50.85,50.85,"5,51,300"
"Oct 20, 2016",51.4,51.58,50.25,50.43,50.43,"5,48,947"
"Oct 19, 2016",50.77,51.93,50.69,51.6,51.6,"1,32,427"
"Oct 18, 2016",50.04,50.78,49.76,50.29,50.29,"1,92,803"
"Oct 17, 2016",50.23,50.58,49.47,49.94,49.94,"4,18,723"
"Oct 14, 2016",50.58,51.14,49.9,50.35,50.35,"5,19,431"
"Oct 13, 2016",50,50.59,49.36,50.44,50.44,"7,40,676"
"Oct 12, 2016",50.84,51.17,49.89,50.18,50.18,"5,33,884"
"Oct 11, 2016",51.1,51.54,50.39,50.79,50.79,"7,65,608"
